Year,AAPL 52-Week High,AAPL 52-Week Low,CVX 52-Week High,CVX 52-Week Low,MSFT 52-Week High,MSFT 52-Week Low,XOM 52-Week High,XOM 52-Week Low,Average Closing Price,Year Open,Year High,Year Low,Year Close,Annual % Change,Fed_Interest_Payments,Inflation_Consumer_Prices_for_the_United_States,GDP,Federal_Debt_Total_Public_Debt_as_Percent_of_GDP,Unemployment_Rate,Federal_Government_Current_Tax_Receipts
2011,15.239286422729492,11.089285850524902,110.01000213623047,86.68000030517578,29.459999084472656,23.649999618530273,88.2300033569336,67.02999877929688,1267.64,1271.87,1363.61,1099.23,1257.6,0.0,425.44175,3.156841568622,15599.7315,93.94041,8.933333333333334,1478.4035
2012,25.18107032775879,14.60714340209961,118.52999877929688,95.7300033569336,32.95000076293945,26.260000228881836,93.66999816894531,77.12999725341797,1379.61,1277.06,1465.77,1277.06,1426.19,13.41,422.624,2.06933726526067,16253.97,98.3683875,8.075,1572.95025
2013,20.540714263916016,13.753570556640625,127.83000183105469,108.73999786376953,38.97999954223633,26.280000686645508,101.73999786376953,84.79000091552734,1643.8,1462.42,1848.36,1457.15,1848.36,29.6,416.32575,1.46483265562717,16880.683250000002,99.829175,7.358333333333333,1744.8855
2014,29.9375,17.626785278320312,135.10000610351562,100.1500015258789,50.04999923706055,34.630001068115234,104.76000213623047,86.19000244140625,1931.38,1831.98,2090.57,1741.89,2058.9,11.39,439.09225,1.62222297740817,17608.13825,101.097355,6.158333333333334,1900.4495
2015,33.6349983215332,23.0,113.0,69.58000183105469,56.849998474121094,39.720001220703125,93.44999694824219,66.55000305175781,2061.07,2058.2,2130.82,1867.61,2043.94,-0.73,429.28225,0.118627135552451,18295.019,100.267225,5.275,2025.7095
2016,29.672500610351562,22.36750030517578,119.0,75.33000183105469,64.0999984741211,48.040000915527344,95.55000305175781,71.55000305175781,2094.65,2012.66,2271.72,1829.08,2238.83,9.54,454.3035,1.26158320570536,18804.91325,103.9553875,4.875,2021.131
2017,44.29999923706055,28.690000534057617,126.19999694824219,102.55000305175781,87.5,61.95000076293945,91.33999633789062,76.05000305175781,2449.08,2257.83,2690.16,2257.83,2673.61,19.42,476.69525,2.13011000365961,19612.1025,102.5260725,4.358333333333333,1999.804
2018,58.36750030517578,36.647499084472656,133.8800048828125,100.22000122070312,116.18000030517578,83.83000183105469,89.30000305175781,64.6500015258789,2746.21,2695.81,2930.75,2351.1,2506.85,-6.24,540.62925,2.44258329692817,20656.5155,103.8065925,3.891666666666666,2028.43875
2019,73.49250030517578,35.5,127.33999633789062,107.0999984741211,159.5500030517578,97.19999694824219,83.48999786376953,66.30999755859375,2913.36,2510.03,3240.02,2447.89,3230.78,28.88,577.364,1.81221007526021,21521.395,104.5047525,3.675,2113.1937500000004
2020,138.7899932861328,53.15250015258789,122.72000122070312,51.599998474121094,232.86000061035156,132.52000427246094,71.37000274658203,30.110000610351562,3217.86,3257.85,3756.07,2237.4,3756.07,16.26,521.387,1.23358439630629,21322.9495,122.6031025,8.091666666666667,2158.24675
2021,182.1300048828125,116.20999908447266,119.33999633789062,83.88999938964844,349.6700134277344,211.94000244140625,66.37999725341797,41.0,4273.41,3700.65,4793.06,3700.65,4766.18,26.89,574.5705,4.69785886363742,23594.03075,121.599,5.3500000000000005,2638.87975
